MPXV-UK_P2-001	J1L	001-chemokine-binding-protein	Chemokine binding protein (Cop-C23L); J1L; similar to Vaccinia virus strain Copenhagen C23L; most abundant secreted protein; CC-chemokine binding 
	YP_233033-hypothetical-protein-VACWR151-[Vaccinia-virus]	96.58(%id)	100.0(%cover)
	NP_619947-CPXV163-Protein-[Cowpox-virus]	95.89(%id)	100.0(%cover)
	YP_010085607-IMV-membrane-protein-[Akhmeta-virus]	96.58(%id)	100.0(%cover)
	NP_042179-hypothetical-protein-VARVgp135-[Variola-virus]	96.58(%id)	100.0(%cover)
	YP_717459-IMV-membrane-protein-[Taterapox-virus]	95.89(%id)	100.0(%cover)
	NP_570537-CMLV147-[Camelpox-virus]	95.89(%id)	100.0(%cover)
	YP_010085816-putative-A28L-protein-[Orthopoxvirus-Abatino]	95.89(%id)	100.0(%cover)
	NP_671649-EVM130-[Ectromelia-virus]	95.89(%id)	100.0(%cover)
MPXV-UK_P2-140	A31L	140-DNA-dependent-RNA-polymerase-rpo35	RNA polymerase subunit (RPO35) (Cop-A29L); A31L; similar to Vaccinia virus strain Copenhagen A29L; RNA polymerase, 35 kDa subunit 
	NP_536568-A31L-[Monkeypox-virus-Zaire-96-I-16]	98.69(%id)	100.0(%cover)
	NP_619948-CPXV164-protein-[Cowpox-virus]	98.03(%id)	100.0(%cover)
	YP_717460-DNA-dependent-RNA-polymerase-rpo35-[Taterapox-virus]	97.70(%id)	100.0(%cover)
	YP_010085608-RNA-Pol-RPO35-protein-[Akhmeta-virus]	98.03(%id)	100.0(%cover)
	YP_233034-DNA-dependent-RNA-polymerase-rpo35-[Vaccinia-virus]	97.70(%id)	100.0(%cover)
	NP_570538-CMLV148-[Camelpox-virus]	97.38(%id)	100.0(%cover)
	YP_010085817-putative-A29L-protein-[Orthopoxvirus-Abatino]	96.72(%id)	100.0(%cover)
	NP_671650-EVM131-[Ectromelia-virus]	96.72(%id)	100.0(%cover)
	NP_042180-hypothetical-protein-VARVgp136-[Variola-virus]	95.74(%id)	100.0(%cover)
	YP_009282842-RNA-polymerase-[Skunkpox-virus]	91.80(%id)	100.0(%cover)
	YP_009281896-RNA-polymerase-[Volepox-virus]	90.82(%id)	100.0(%cover)
MPXV-UK_P2-141	A32L	141-IMV-protein	IMV protein (Cop-A30L); A32L; similar to Vaccinia virus strain Copenhagen A30L 
	NP_536569-A32L-[Monkeypox-virus-Zaire-96-I-16]	97.44(%id)	100.0(%cover)
	YP_010085609-IMV-protein-[Akhmeta-virus]	94.87(%id)	100.0(%cover)
	YP_233035-IMV-protein-[Vaccinia-virus]	94.87(%id)	100.0(%cover)
	NP_042181-hypothetical-protein-VARVgp137-[Variola-virus]	94.87(%id)	100.0(%cover)
	NP_570539-CMLV149-[Camelpox-virus]	94.87(%id)	100.0(%cover)
	YP_717461-IMV-core-phosphoprotein-[Taterapox-virus]	94.87(%id)	100.0(%cover)
MPXV-UK_P2-142	A32.5L	142	Viral membrane assembly proteins (VMAP) (Cop-A 30.5L);A32.5L 
MPXV-UK_P2-143	A33R	143-A33R	Hypothetical protein (Cop-A31R); A33R; similar to Vaccinia virus strain Copenhagen A31R 
	NP_536570-A33R-[Monkeypox-virus-Zaire-96-I-16]	96.55(%id)	100.0(%cover)
	NP_042182-hypothetical-protein-VARVgp138-[Variola-virus]	93.79(%id)	100.0(%cover)
	NP_619950-CPXV166-protein-[Cowpox-virus]	93.79(%id)	100.0(%cover)
	YP_717462-hypothetical-protein-TATV_DAH68_155-[Taterapox-virus]	97.50(%id)	82.8(%cover)
MPXV-UK_P2-144	A34L	144-ATPase	ATPase/DNA packaging protein (Cop-A32L); A34L; similar to Vaccinia virus strain Copenhagen A32L; DNA packaging into virion; NTP-binding motif A 
	NP_536571-A34L-[Monkeypox-virus-Zaire-96-I-16]	99.33(%id)	100.0(%cover)
	NP_619951-CPXV167-protein-[Cowpox-virus]	98.66(%id)	99.7(%cover)
	YP_717463-ATPase-[Taterapox-virus]	99.26(%id)	90.0(%cover)
	NP_570541-CMLV151-[Camelpox-virus]	98.89(%id)	90.0(%cover)
	YP_010085821-putative-A32L-protein-[Orthopoxvirus-Abatino]	99.26(%id)	89.7(%cover)
	NP_671653-EVM134-[Ectromelia-virus]	99.26(%id)	89.7(%cover)
	YP_233037-putative-ATPase-[Vaccinia-virus]	98.52(%id)	90.0(%cover)
	NP_042183-hypothetical-protein-VARVgp139-[Variola-virus]	98.15(%id)	90.0(%cover)
	YP_009143461-ATPase-[Raccoonpox-virus]	95.86(%id)	88.7(%cover)
	YP_009281900-ATPase/DNA-packaging-protein-[Volepox-virus]	96.21(%id)	88.0(%cover)
	YP_009282846-ATPase/DNA-packaging-protein-[Skunkpox-virus]	95.85(%id)	88.0(%cover)
	YP_010085611-ATPase-[Akhmeta-virus]	99.21(%id)	84.3(%cover)
MPXV-UK_P2-145	A35R	145-EEV-membrane-phosphoglycoprotein	EEV membrane phosphoglycoprotein, C-type lectin-like domain (Cop-A33R); A35R; similar to Vaccinia virus strain Copenhagen A33R; EEV envelope glycoprotein, needed for formation of actin-containing microvilli and cell-to-cell spread of virion; interacts with VAC A36R 
	NP_536572-A35R-[Monkeypox-virus-Zaire-96-I-16]	98.34(%id)	100.0(%cover)
	YP_010085822-putative-A33R-protein-[Orthopoxvirus-Abatino]	94.44(%id)	99.4(%cover)
	NP_042184-hypothetical-protein-VARVgp140-[Variola-virus]	92.22(%id)	99.4(%cover)
	NP_570542-CMLV152-[Camelpox-virus]	92.22(%id)	99.4(%cover)
	NP_671654-EVM135-[Ectromelia-virus]	91.11(%id)	99.4(%cover)
	NP_619952-CPXV168-protein-[Cowpox-virus]	94.51(%id)	99.4(%cover)
	YP_233038-EEV-membrane-phosphoglycoprotein-[Vaccinia-virus]	95.56(%id)	99.4(%cover)
	YP_010085612-EEV-membrane-phosphoglycoprotein-[Akhmeta-virus]	90.50(%id)	98.9(%cover)
	YP_717464-EEV-membrane-phosphoglycoprotein-[Taterapox-virus]	91.67(%id)	99.4(%cover)
MPXV-UK_P2-146	A36R	146-IEV-and-EEV-membrane-glycoprotein	C-type lectin-like IEV/EEV glycoprotein (Cop-A3 4R); A36R; similar to Vaccinia virus strain Copenhagen A3 4R; EEV envelope glycoprotein, lectin-like; required for infectivity of EEV, formation of actin-containing microvilli, and cell-to-cell spread of virion 
	NP_536573-IEV-and-EEV-membrane-glycoprotein-[Monkeypox-virus-Zaire-96-I-16]	99.40(%id)	100.0(%cover)
	NP_619953-CPXV169-protein-[Cowpox-virus]	98.21(%id)	100.0(%cover)
	YP_010085823-putative-A34R-protein-[Orthopoxvirus-Abatino]	97.62(%id)	100.0(%cover)
	YP_010085613-IEV-and-EEV-membrane-glycoprotein-[Akhmeta-virus]	97.62(%id)	100.0(%cover)
	YP_233039-EEV-glycoprotein-[Vaccinia-virus]	97.02(%id)	100.0(%cover)
	NP_570543-IEV-and-EEV-membrane-glycoprotein-[Camelpox-virus]	97.02(%id)	100.0(%cover)
	YP_717465-IEV-and-EEV-membrane-glycoprotein-[Taterapox-virus]	97.02(%id)	100.0(%cover)
	NP_042185-IEV-and-EEV-membrane-glycoprotein-[Variola-virus]	96.43(%id)	100.0(%cover)
	NP_671655-IEV-and-EEV-membrane-glycoprotein-[Ectromelia-virus]	94.05(%id)	100.0(%cover)
	YP_009282848-c-type-lectin-like-iev/eev-glycoprotein-[Skunkpox-virus]	93.45(%id)	100.0(%cover)
	YP_009281902-c-type-lectin-like-iev/eev-glycoprotein-[Volepox-virus]	92.22(%id)	99.4(%cover)
MPXV-UK_P2-147	A37R	147-hypothetical-protein-MPXVgp147	MHC class II antigen presentation inhibitor (Cop-A35R); A37R; similar to Vaccinia virus strain Copenhagen A35R 
	NP_536574-hypothetical-protein-MPXVgp147-[Monkeypox-virus-Zaire-96-I-16]	99.43(%id)	100.0(%cover)
	NP_619954-CPXV171-protein-[Cowpox-virus]	98.30(%id)	100.0(%cover)
	YP_010085824-putative-A35R-protein-[Orthopoxvirus-Abatino]	97.73(%id)	100.0(%cover)
	YP_717466-hypothetical-protein-TATV_DAH68_159-[Taterapox-virus]	98.30(%id)	100.0(%cover)
	YP_010085615-hypothetical-protein-KM542_gp167-[Akhmeta-virus]	97.16(%id)	100.0(%cover)
	YP_233040-hypothetical-protein-VACWR158-[Vaccinia-virus]	97.73(%id)	100.0(%cover)
	NP_570544-hypothetical-protein-CamMLVgp154-[Camelpox-virus]	97.73(%id)	100.0(%cover)
	NP_671656-hypothetical-protein-ECTVgp138-[Ectromelia-virus]	95.45(%id)	100.0(%cover)
MPXV-UK_P2-148	A38R	148-IEV-transmembrane-phosphoprotein	IEV transmembrane phosphoprotein (Cop-A36R); A38R; similar to Vaccinia virus strain Copenhagen A36R; IEV but not CEV envelope protein; plays critical role for actin tail formation; interacts with VAC A33R and A34R 
	NP_536575-A38R-[Monkeypox-virus-Zaire-96-I-16]	98.11(%id)	93.0(%cover)
	YP_010085825-putative-A36R-protein-[Orthopoxvirus-Abatino]	92.83(%id)	96.5(%cover)
	YP_233041-IEV-transmembrane-phosphoprotein-[Vaccinia-virus]	95.02(%id)	96.5(%cover)
	YP_717467-IEV-transmembrane-phosphoprotein-[Taterapox-virus]	93.64(%id)	96.5(%cover)
	NP_042187-hypothetical-protein-VARVgp143-[Variola-virus]	91.36(%id)	96.5(%cover)
	YP_010085616-IEV-transmembrane-phosphoprotein-[Akhmeta-virus]	91.63(%id)	93.0(%cover)
	NP_619955-CPXV172-protein-[Cowpox-virus]	91.11(%id)	96.5(%cover)
	NP_570545-CMLV155-[Camelpox-virus]	90.83(%id)	95.6(%cover)
MPXV-UK_P2-149	A39R	149-hypothetical-protein-MPXVgp149	Hypothetical protein (Cop-A37R); A39R; similar to Vaccinia virus strain Copenhagen A37R 
	NP_536576-hypothetical-protein-MPXVgp149-[Monkeypox-virus-Zaire-96-I-16]	98.51(%id)	100.0(%cover)
	NP_570546-hypothetical-protein-CamMLVgp156-[Camelpox-virus]	97.34(%id)	98.1(%cover)
	YP_233042-hypothetical-protein-VACWR160-[Vaccinia-virus]	97.72(%id)	98.1(%cover)
	YP_010085826-putative-A37R-protein-[Orthopoxvirus-Abatino]	97.34(%id)	98.1(%cover)
	NP_619956-CPXV173-protein-[Cowpox-virus]	96.58(%id)	98.1(%cover)
	YP_717468-hypothetical-protein-TATV_DAH68_161-[Taterapox-virus]	96.58(%id)	98.1(%cover)
	YP_010085617-hypothetical-protein-KM542_gp169-[Akhmeta-virus]	95.82(%id)	98.1(%cover)
MPXV-UK_P2-150	A40L	150-A40L	CD47-like, integral membrane protein (Cop-A38L); A40L; similar to Vaccinia virus strain Copenhagen A38L; integral membrane glycoprotein; immunoglobulin-like; regulation of the influx of extracellular Ca2+ 
	NP_536577-A40L-[Monkeypox-virus-Zaire-96-I-16]	99.28(%id)	100.0(%cover)
	YP_010085828-putative-A38L-protein-[Orthopoxvirus-Abatino]	96.39(%id)	100.0(%cover)
	NP_619958-CPXV175-protein-[Cowpox-virus]	96.03(%id)	100.0(%cover)
	YP_717470-CCD47-like-membrane-protein-[Taterapox-virus]	95.31(%id)	100.0(%cover)
	YP_233044-CD47-like-putative-membrane-protein-[Vaccinia-virus]	95.31(%id)	100.0(%cover)
	NP_042191-hypothetical-protein-VARVgp147-[Variola-virus]	94.95(%id)	100.0(%cover)
	NP_570548-CD47-like-membrane-glycoprotein-[Camelpox-virus]	94.58(%id)	100.0(%cover)
	YP_010085619-CD47-lilke-protein-[Akhmeta-virus]	94.95(%id)	100.0(%cover)
	NP_671657-EVM138-[Ectromelia-virus]	95.31(%id)	100.0(%cover)
MPXV-UK_P2-151	A41L	151-A41L	Chemokine binding protein (Cop-A41L); A41L; similar to Vaccinia virus strain Copenhagen A41L; secreted protein reducing infiltration of inflammatory cells into the infected area 
	NP_536578-A41L-[Monkeypox-virus-Zaire-96-I-16]	98.64(%id)	100.0(%cover)
	NP_619960-CPXV178-protein-[Cowpox-virus]	94.57(%id)	100.0(%cover)
	YP_233048-secreted-glycoprotein-[Vaccinia-virus]	90.95(%id)	100.0(%cover)
	YP_717472-glycoprotein-[Taterapox-virus]	90.50(%id)	100.0(%cover)
	YP_010085831-putative-A41L-protein-[Orthopoxvirus-Abatino]	90.09(%id)	100.0(%cover)
MPXV-UK_P2-152	A42R	152-profilin-like-protein	Profilin-like protein, ATI-localized (Cop-A42R); A42R; similar to Vaccinia virus strain Copenhagen A42R; profilin-like 
	NP_536579-A42R-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_010085832-putative-A42R-protein-[Orthopoxvirus-Abatino]	100.00(%id)	100.0(%cover)
	YP_717473-profilin-like-protein-[Taterapox-virus]	99.25(%id)	100.0(%cover)
	NP_570551-CMLV161-[Camelpox-virus]	99.25(%id)	100.0(%cover)
	NP_042197-hypothetical-protein-VARVgp153-[Variola-virus]	99.25(%id)	100.0(%cover)
	YP_233049-profilin-like-protein-[Vaccinia-virus]	97.74(%id)	100.0(%cover)
	NP_619961-CPXV179-protein-[Cowpox-virus]	97.74(%id)	100.0(%cover)
	NP_671660-EVM141-[Ectromelia-virus]	91.67(%id)	99.2(%cover)
MPXV-UK_P2-153	A43R	153-A43R	Type I membrane glycoprotein (Cop-A43R); A43R; similar to Vaccinia virus strain Copenhagen A43R; membrane glycoprotein 
	NP_536580-A43R-[Monkeypox-virus-Zaire-96-I-16]	98.47(%id)	100.0(%cover)
	NP_570552-CMLV162-[Camelpox-virus]	95.41(%id)	100.0(%cover)
	YP_717474-type-I-membrane-glycoprotein-[Taterapox-virus]	93.88(%id)	100.0(%cover)
	YP_010085833-putative-A43R-protein-[Orthopoxvirus-Abatino]	92.86(%id)	100.0(%cover)
	NP_042198-hypothetical-protein-VARVgp154-[Variola-virus]	92.86(%id)	100.0(%cover)
	YP_233050-putative-type-I-membrane-glycoprotein-[Vaccinia-virus]	91.84(%id)	100.0(%cover)
	NP_619962-CPXV180-protein-[Cowpox-virus]	90.31(%id)	100.0(%cover)
MPXV-UK_P2-154	A44R	154-hypothetical-protein-MPXVgp154	Hypothetical protein (Cop-A43.5R); A44R 
	NP_536581-hypothetical-protein-MPXVgp154-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
MPXV-UK_P2-155	A45L	155-hydroxysteroid-dehydrogenase	3 beta-hydroxysteroid dehydrogenase/delta 5->4 isomerase (Cop-A44L); A45L; similar to Vaccinia virus strain Copenhagen A44L; 3-b-Hydroxy-delta5-steroid dehydrogenase 
	NP_536582-A45L-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_233052-hydroxysteroid-dehydrogenase-[Vaccinia-virus]	98.84(%id)	100.0(%cover)
	NP_570554-CMLV164-[Camelpox-virus]	97.98(%id)	100.0(%cover)
	YP_010085835-putative-A44L-protein-[Orthopoxvirus-Abatino]	98.27(%id)	100.0(%cover)
	NP_619964-CPXV182-protein-[Cowpox-virus]	96.52(%id)	99.7(%cover)
	YP_010085626-hydroxysteroid-dehydrogenase-[Akhmeta-virus]	94.19(%id)	99.4(%cover)
	NP_671662-EVM143-[Ectromelia-virus]	93.93(%id)	100.0(%cover)
MPXV-UK_P2-156	A46R	156-A46R	Inactive Cu-Zn superoxide dismutase-like virion protein (Cop-A45R); A46R; similar to Vaccinia virus strain Copenhagen A45R; superoxide dismutase-like; virion core protein 
	NP_536583-A46R-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_233053-inactive-Cu-Zn-superoxide-dismutase-like-in-virion-[Vaccinia-virus]	97.60(%id)	100.0(%cover)
	NP_042201-hypothetical-protein-VARVgp157-[Variola-virus]	96.80(%id)	100.0(%cover)
	NP_570555-CMLV165-[Camelpox-virus]	96.80(%id)	100.0(%cover)
	NP_671663-EVM144-[Ectromelia-virus]	96.80(%id)	100.0(%cover)
	YP_010085627-superoxide-dismutase-like-protein-[Akhmeta-virus]	95.20(%id)	100.0(%cover)
	NP_619965-CPXV183-protein-[Cowpox-virus]	96.00(%id)	100.0(%cover)
	YP_010085836-putative-A45R-protein-[Orthopoxvirus-Abatino]	93.60(%id)	100.0(%cover)
MPXV-UK_P2-157	A47R	157-A47R	IL-1/TLR signaling inhibitor (Cop-A46R); A47R; similar to Vaccinia virus strain Copenhagen A46R 
	NP_536584-A47R-[Monkeypox-virus-Zaire-96-I-16]	99.17(%id)	100.0(%cover)
	YP_233054-Toll/IL1-receptor-[Vaccinia-virus]	95.00(%id)	100.0(%cover)
	NP_671664-EVM145-[Ectromelia-virus]	95.42(%id)	100.0(%cover)
	NP_619966-CPXV184-protein-[Cowpox-virus]	94.58(%id)	100.0(%cover)
	NP_042202-hypothetical-protein-VARVgp158-[Variola-virus]	95.00(%id)	100.0(%cover)
	NP_570556-CMLV166-[Camelpox-virus]	94.17(%id)	100.0(%cover)
	YP_010085837-putative-A46R-protein-[Orthopoxvirus-Abatino]	91.67(%id)	100.0(%cover)
	YP_010085628-hypothetical-protein-KM542_gp180-[Akhmeta-virus]	91.67(%id)	100.0(%cover)
MPXV-UK_P2-158	A49R	158-thymidylate-kinase	Thymidylate kinase (Cop-A48R); A49R; similar to Vaccinia virus strain Copenhagen A48R; thymidylate kinase 
	NP_536586-A49R-[Monkeypox-virus-Zaire-96-I-16]	99.51(%id)	100.0(%cover)
	YP_010085839-putative-A48R-protein-[Orthopoxvirus-Abatino]	98.04(%id)	100.0(%cover)
	YP_233056-thymidylate-kinase-[Vaccinia-virus]	98.53(%id)	100.0(%cover)
	NP_619968-CPXV186-protein-[Cowpox-virus]	98.04(%id)	100.0(%cover)
	YP_010085630-thymidylate-kinase-[Akhmeta-virus]	97.55(%id)	100.0(%cover)
	NP_671666-EVM147-[Ectromelia-virus]	97.55(%id)	100.0(%cover)
	NP_042204-hypothetical-protein-VARVgp160-[Variola-virus]	98.05(%id)	100.0(%cover)
	NP_570559-CMLV169-[Camelpox-virus]	97.06(%id)	100.0(%cover)
MPXV-UK_P2-159	A50R	159-DNA-ligase	ATP-dependent DNA ligase (Cop-A50R); A50R; similar to Vaccinia virus strain Copenhagen A50R; DNA ligase 
	NP_536587-A50R-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	99.1(%cover)
	NP_671667-EVM148-[Ectromelia-virus]	98.92(%id)	99.1(%cover)
	YP_233058-ATP-dependent-DNA-ligase-[Vaccinia-virus]	98.19(%id)	99.1(%cover)
	YP_010085841-putative-A50R-protein-[Orthopoxvirus-Abatino]	98.19(%id)	99.1(%cover)
	NP_619970-CPXV188-protein-[Cowpox-virus]	97.65(%id)	99.1(%cover)
	YP_010085632-DNA-ligase-[Akhmeta-virus]	97.46(%id)	98.7(%cover)
	YP_717484-DNA-ligase-[Taterapox-virus]	97.11(%id)	99.1(%cover)
	NP_042206-hypothetical-protein-VARVgp162-[Variola-virus]	96.39(%id)	99.1(%cover)
	NP_570561-CMLV171-[Camelpox-virus]	96.21(%id)	99.1(%cover)
MPXV-UK_P2-160	A51R	160-A51R	Hypothetical protein (Cop-A51R); A51R; similar to Vaccinia virus strain Copenhagen A51R 
	NP_536588-A51R-[Monkeypox-virus-Zaire-96-I-16]	99.10(%id)	100.0(%cover)
	YP_717485-hypothetical-protein-TATV_DAH68_178-[Taterapox-virus]	95.81(%id)	100.0(%cover)
	YP_233059-hypothetical-protein-VACWR177-[Vaccinia-virus]	95.51(%id)	100.0(%cover)
	NP_570562-CMLV172-[Camelpox-virus]	95.21(%id)	100.0(%cover)
	YP_010085842-putative-A51R-protein-[Orthopoxvirus-Abatino]	95.21(%id)	100.0(%cover)
	NP_619971-CPXV189-protein-[Cowpox-virus]	95.21(%id)	100.0(%cover)
	NP_671668-EVM149-[Ectromelia-virus]	94.91(%id)	100.0(%cover)
	YP_010085633-hypothetical-protein-KM542_gp185-[Akhmeta-virus]	93.41(%id)	100.0(%cover)
	NP_042207-hypothetical-protein-VARVgp163-[Variola-virus]	93.11(%id)	100.0(%cover)
MPXV-UK_P2-162	B2R	162-B2R	Hemagglutinin (Cop-A56R); B2R; similar to Vaccinia virus strain Copenhagen A56R; EEV envelope and cell membrane glycoprotein hemagglutinin; inhibition of the ability of infected cells to fuse; interacts with VAC F13L 
	NP_536590-B2R-[Monkeypox-virus-Zaire-96-I-16]	98.72(%id)	100.0(%cover)
	YP_233063-hemagglutinin-[Vaccinia-virus]	92.70(%id)	100.0(%cover)
MPXV-UK_P2-163	B3R	163-ser_thr-kinase	Ser/Thr Kinase (Cop-B1R); B3R; similar to Vaccinia virus strain Copenhagen B1R; serine 
	NP_536591-B3R-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	98.7(%cover)
	NP_671671-EVM152-[Ectromelia-virus]	96.99(%id)	98.7(%cover)
	YP_233065-ser/thr-kinase-[Vaccinia-virus]	97.32(%id)	98.3(%cover)
	NP_619977-CPXV196-protein-[Cowpox-virus]	95.99(%id)	98.7(%cover)
	YP_010085848-putative-B1R-protein-[Orthopoxvirus-Abatino]	94.65(%id)	98.7(%cover)
	NP_570568-CMLV178-[Camelpox-virus]	94.63(%id)	98.3(%cover)
	YP_717492-ser/thr-kinase-[Taterapox-virus]	94.92(%id)	97.4(%cover)
	YP_010085639-Ser/Thr-protein-kinase-[Akhmeta-virus]	93.29(%id)	98.3(%cover)
	NP_042213-hypothetical-protein-VARVgp169-[Variola-virus]	93.29(%id)	98.3(%cover)
MPXV-UK_P2-164	B4R	164-hypothetical-protein-MPXVgp165	Schlafen (Cop-B2R); B4R; schlafen-like 
	NP_536592-hypothetical-protein-MPXVgp165-[Monkeypox-virus-Zaire-96-I-16]	99.40(%id)	100.0(%cover)
	NP_619978-CPXV197-protein-[Cowpox-virus]	92.45(%id)	100.0(%cover)
	NP_671672-hypothetical-protein-ECTVgp154-[Ectromelia-virus]	92.83(%id)	99.8(%cover)
	YP_010085849-putative-B2R-protein-[Orthopoxvirus-Abatino]	90.28(%id)	100.0(%cover)
MPXV-UK_P2-165	B5R	165-ankyrin-like-protein	Ankyrin (Cop-B4R); B5R; similar to Vaccinia virus strain Copenhagen B4R; ankyrin-like 
	NP_536593-B5R-[Monkeypox-virus-Zaire-96-I-16]	99.64(%id)	100.0(%cover)
	NP_619979-CPXV198-protein-[Cowpox-virus]	93.77(%id)	100.0(%cover)
	YP_717494-ankyrin-like-protein-[Taterapox-virus]	93.24(%id)	100.0(%cover)
	YP_010085850-putative-B4R-protein-[Orthopoxvirus-Abatino]	92.91(%id)	100.0(%cover)
	YP_233068-ankyrin-like-protein-[Vaccinia-virus]	93.42(%id)	100.0(%cover)
	NP_671673-EVM154-[Ectromelia-virus]	91.98(%id)	99.6(%cover)
	NP_042218-hypothetical-protein-VARVgp174-[Variola-virus]	91.99(%id)	100.0(%cover)
	NP_570570-CMLV180-[Camelpox-virus]	92.17(%id)	100.0(%cover)
	YP_010085641-ankyrin-containing-protein-[Akhmeta-virus]	90.39(%id)	100.0(%cover)
MPXV-UK_P2-166	B6R	166-EEV-membrane-glycoprotein	EEV type-1 membrane glycoprotein, protective antigen (Cop-B5R); B6R; similar to Vaccinia virus strain Copenhagen B5R; palmitated 42 kDa glycoprotein located both on the membranes of infected cells and on EEV envelope; complement control protein-like 
	NP_536594-EEV-membrane-glycoprotein-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_233069-EEV-type-I-membrane-glycoprotein-[Vaccinia-virus]	96.53(%id)	100.0(%cover)
	NP_671674-EEV-membrane-glycoprotein-[Ectromelia-virus]	96.53(%id)	100.0(%cover)
	YP_010085642-EEV-membrane-glycoprotein-[Akhmeta-virus]	94.64(%id)	100.0(%cover)
	NP_619980-CPXV199-protein-[Cowpox-virus]	93.69(%id)	100.0(%cover)
	NP_042219-EEV-membrane-glycoprotein-[Variola-virus]	93.04(%id)	99.7(%cover)
	NP_570571-EEV-membrane-glycoprotein-[Camelpox-virus]	93.06(%id)	100.0(%cover)
	YP_717495-EEV-membrane-glycoprotein-[Taterapox-virus]	93.38(%id)	100.0(%cover)
	YP_010085851-putative-B5R-protein-[Orthopoxvirus-Abatino]	94.95(%id)	100.0(%cover)
MPXV-UK_P2-167	B7R	167-B7R	Ankyrin-like protein (Cop-B6R); B7R; similar to Vaccinia virus strain Copenhagen B6R 
	NP_536595-B7R-[Monkeypox-virus-Zaire-96-I-16]	97.01(%id)	99.4(%cover)
MPXV-UK_P2-168	B8R	168-hypothetical-protein-MPXVgp169	Virulence, ER resident (Cop-B7R); B8R; similar to Vaccinia virus strain Copenhagen B7R 
	NP_536596-hypothetical-protein-MPXVgp169-[Monkeypox-virus-Zaire-96-I-16]	98.90(%id)	100.0(%cover)
	YP_233071-21kDa-precursor-protein-[Vaccinia-virus]	97.80(%id)	100.0(%cover)
	YP_010085644-hypothetical-protein-KM542_gp196-[Akhmeta-virus]	96.70(%id)	100.0(%cover)
	NP_671676-hypothetical-protein-ECTVgp158-[Ectromelia-virus]	96.70(%id)	100.0(%cover)
	YP_717497-hypothetical-protein-TATV_DAH68_190-[Taterapox-virus]	93.41(%id)	100.0(%cover)
	YP_010085853-putative-B7R-protein-[Orthopoxvirus-Abatino]	93.99(%id)	100.0(%cover)
	NP_619982-CPXV201-protein-[Cowpox-virus]	91.21(%id)	100.0(%cover)
MPXV-UK_P2-169	B9R	169-B9R	Soluble IFN-g receptor-like protein (Cop-B8R); B9R; similar to Vaccinia virus strain Copenhagen B8R; secreted IFN-g binding protein 
	NP_536597-B9R-[Monkeypox-virus-Zaire-96-I-16]	99.25(%id)	100.0(%cover)
	YP_233072-soluble-interferon-gamma-receptor-like-protein-[Vaccinia-virus]	95.13(%id)	100.0(%cover)
	NP_619983-CPXV202-protein-[Cowpox-virus]	93.16(%id)	98.5(%cover)
	YP_717498-interferon-gamma-receptor-like-protein-[Taterapox-virus]	92.02(%id)	98.5(%cover)
	YP_010085854-putative-B8R-protein-[Orthopoxvirus-Abatino]	92.40(%id)	98.5(%cover)
	YP_010085645-interferon-gamma-receptor-[Akhmeta-virus]	91.63(%id)	98.5(%cover)
	NP_570574-CMLV184-[Camelpox-virus]	91.25(%id)	98.5(%cover)
	NP_042221-hypothetical-protein-VARVgp177-[Variola-virus]	90.87(%id)	98.5(%cover)
	NP_671677-interferon-gamma-binding-protein-C4R-[Ectromelia-virus]	90.87(%id)	98.5(%cover)
MPXV-UK_P2-170	B10R	170-B10R	ER-localized apoptosis regulator (Cop-B9R); B10R; shope fibroma virus T4 protein-like 
	NP_536598-B10R-[Monkeypox-virus-Zaire-96-I-16]	99.55(%id)	100.0(%cover)
	YP_010085855-putative-B9R-protein-[Orthopoxvirus-Abatino]	95.48(%id)	100.0(%cover)
MPXV-UK_P2-171	unknown2	171	unknown2;unknown2; 
MPXV-UK_P2-172	B11R	172-B11R	Ser/Thr Kinase (Cop-B12R); B11R; similar to Vaccinia virus strain Copenhagen B12R; protein kinase-like 
	NP_536599-B11R-[Monkeypox-virus-Zaire-96-I-16]	98.58(%id)	100.0(%cover)
	YP_233076-ser/thr-protein-kinase-like-protein-[Vaccinia-virus]	96.47(%id)	100.0(%cover)
	NP_619987-CPXV206-protein-[Cowpox-virus]	92.98(%id)	100.0(%cover)
	YP_010085858-putative-B12R-protein-[Orthopoxvirus-Abatino]	91.99(%id)	100.0(%cover)
	YP_010085649-Ser/Thr-protein-kinase-[Akhmeta-virus]	92.28(%id)	100.0(%cover)
	NP_570580-CMLV190-[Camelpox-virus]	91.26(%id)	100.0(%cover)
	NP_671679-protein-kinase-C6R-[Ectromelia-virus]	90.91(%id)	100.0(%cover)
MPXV-UK_P2-173	B12R	173-B12R	Serpin 1,2,3 (Cop-K2L); B12R; serine protease inhibitor-like, SPI-2; inhibition of the IL-1b converting enzyme; apoptosis inhibition 
